Codigo,ID,Nombre del emplazamiento,Direccion,Municipio,Localidad,Provincia,Latitud,Longitud,Categoria
ARNQ0581,QE051,Plottier Oeste(A),S/N (a 1.3 km de RUTA 22) s/n y RUTA 22,PLOTTIER,PLOTTIER,NEUQUEN,-38.96173,-68.3464,C
ARBA0593,BT008,Pehuajo Repetidora,Dr. Pelaez entre C. Namuncura y Dr. Bogliano,PEHUAJO,PEHUAJO,BUENOS AIRES,-35.802282,-61.88102,B
ARBA1190,BT018,Pehuajó TASA,Rivarola 560 entre Artigas y H.Yrigoyen,PEHUAJO,PEHUAJO,BUENOS AIRES,-35.803056,-61.880833,B
ARBA9348,BT042,Pehuajo - 042(B),Godoy e/ Varela y Gutierrez .,PEHUAJO,PEHUAJO,BUENOS AIRES,-35.806319,-61.896694,C
ARBA9420,BT043,Pehuajo - 043(A),Cagliaro y Acosta e/ Payro y Rodriguez .,PEHUAJO,PEHUAJO,BUENOS AIRES,-35.822036,-61.887603,C
ARBA0087,BC067,Carlos Tejedor,Rivadavia 354 entre Almiron y San Martin,CARLOS TEJEDOR,CARLOS TEJEDOR,BUENOS AIRES,-35.392579,-62.419665,B
ARBA0223,BC042,Timote,Ricardo Rojas s/n,CARLOS TEJEDOR,TIMOTE,BUENOS AIRES,-35.336968,-62.219181,A
ARBA11558,BT714,(TASA) - CURARU,Av. Entre Rios (e) Mendoza y Malvinas Argentinas,CARLOS TEJEDOR,CURARU,BUENOS AIRES,-35.64141,-62.19329,C
ARBA0164,BC052,Pasteur,Calle  9  de Julio lote 4,LINCOLN,PASTEUR,BUENOS AIRES,-35.135421,-62.235736,A
ARBA0630,BT007,Juan Jose Paso Repetidora,Rivadavia entre Moreno y Pueyrredon,PEHUAJO,JUAN JOSE PASO,BUENOS AIRES,-35.850204,-62.287894,B
ARBA2122,,Juan Jose Paso TASA,"Belgrano 159/63 (e) Sarmiento y A. del Valle, s/N",PEHUAJO,JUAN JOSE PASO,BUENOS AIRES,-35.849167,-62.296944,B
ARBA6187,,Tasa Francisco Madero,Saenz Peña 000000   y Esquina Sarmiento,PEHUAJO,PEHUAJO,BUENOS AIRES,-35.85,-62.064722,C
ARBA0198,BT006,Henderson,España 625 entre Moreno y Belgrano,HIPOLITO YRIGOYEN,HENDERSON,BUENOS AIRES,-36.287356,-61.704421,B
ARBA0199,BT021,Mones Cazon,Av. Ezequiel Ramos Mejia 462 entre N. Avellaneda y Mitre,PEHUAJO,MONES CAZON,BUENOS AIRES,-36.227779,-62.0075,B
ARBA0352,BT016,TASA Salazar,J. B. Alberdi s/n y Gral Belgrano,DAIREAUX,SALAZAR,BUENOS AIRES,-36.301287,-62.202787,A
ARBA11307,,(TASA) - MAGDALA,"Calle sin nombre, frente a plaza pública - Delegacion Municipal. NC. Circ. XIV, Secc. A, Mz. 9, Parc",PEHUAJO,MAGDALA,BUENOS AIRES,-36.08503,-61.72291,C
ARBA11325,,(TASA) - NUEVA PLATA,Av. Anselma s/nº esq. Batallón Palma,PEHUAJO,NUEVA PLATA,BUENOS AIRES,-35.91806,-61.81319,C
ARBA11390,,(TASA) - BELLOCQ,Calle 10 entre Av 15 y Av 17,CARLOS CASARES,BELLOCQ,BUENOS AIRES,-35.91843,-61.53054,C
ARBA5142,BT024,WBT024(D),URQUIZA  723,HIPOLITO YRIGOYEN,HENDERSON,BUENOS AIRES,-36.3036,-61.7265,C
ARBA0273,BT013,(TASA) - URDAMPILLETA REP,Maipu N° 249 (e) Pueyrredon y J.B.Alberdi. 249 entre Pueyrredon y Alberdi,BOLIVAR,URDAMPILLETA,BUENOS AIRES,-36.429028,-61.413833,B
ARBA0408,BT004,Daireaux,Mitre 301 y Lavalle,DAIREAUX,DAIREAUX,BUENOS AIRES,-36.599045,-61.748328,B
ARBA11090,,URDAMPILLETA rep,Avenida Rivadavia 166 entre Pellegrini y San Martin,0,Urdampilleta,Buenos Aires,-36.432034,-61.420708,B
ARBA3532,BT023,Central Pirovano,Carranza y Saavedra s/N°,BOLIVAR,PIROVANO,BUENOS AIRES,-36.510361,-61.555452,B
ARBA7555,BT025,Daireaux Sur(A),Uruguay . entre ecuador y calle sin Nombre,DAIREAUX,DAIREAUX,BUENOS AIRES,-36.61561,-61.76696,C
ARBA11034,,(TASA) - GUANACO,Julio A. Roca esq. J. N. Drysdale,PEHUAJO,SAN BERNARDO (ESTACION GUANACO),BUENOS AIRES,-35.7206,-61.6497,C
ARBA11444,,(TASA) - CHICLANA,Calle 4 (e) Calle 1 y Calle 3,0,Chiclana,Buenos Aires,-35.7327,-61.7436,D
ARBA11011,,(TASA) - DRABBLE,Escuela Local. Prop. Ministerio de Educ. de la Prov. Parc. 828 gg de la zona rural,GENERALVILLEGAS,GENERAL VILLEGAS (ESTACION VILLEGAS),BUENOS AIRES,-34.9199968,-62.7663042,D
ARBA11087,,(TASA) - TRES ALGARROBOS,"Av. Balbiani y 25 de Mayo, lindero a Delegación Municipal . y  NC. Circ. VII, Secc. A, Manzana 36, Parcela 2 (parte).",CARLOS TEJEDOR,TRES ALGARROBOS (ESTACION CUENCA),BUENOS AIRES,-35.1962,-62.7731,D
ARBA11088,,(TASA) - TRES LOMAS REP,"Estancia San Carlos lindero a la tranquera. aprox. a 7 km de la Est. FF.CC. . y NC.Circ. II, Parcela ",TRES LOMAS,TRES LOMAS,BUENOS AIRES,-35.1962,-62.7731,D
ARBA11318,,(TASA) - MIRAPAMPA,"CALLE VECINAL ESTACION MIRAPAMPA (60403). A 26 km de la Est. Trili.  NC. Circ. VIII, Secc. D, Mz.18,",RIVADAVIA,SAN MAURICIO,BUENOS AIRES,-35.52206,-63.22362,D
ARBA11393,,(TASA) - BOCAYUVA REP,Ruta Nac. N° 5 a 800 m del Pueblo de Bocayuva,PELLEGRINI,BOCAYUVA,BUENOS AIRES,-36.19786,-63.08078,D
ARBA11394,,(TASA) - BOCAYUVA SSPLD,Belgrano entre 9 de Julio y Calle sin nombre.  Sobre Ruta Nac. Nº 5 a 40 km de Pellegrini,PELLEGRINI,BOCAYUVA,BUENOS AIRES,-36.20427,-63.07636,D
ARPA0324,,(TASA) - DE BARY,Sarmiento (e) Independencia y 9 de Julio // S/Ruta Nac. Nº 5 aprox. a 15 km de Catrilo. delegacion M,CATRILO,DE BARY,LA PAMPA,-36.34069,-63.26009,D
ARBA0421,BT047,Trenque Lauquen TASA,9 de Julio 55 entre San Martín y Villegas,TRENQUE LAUQUEN,TRENQUE LAUQUEN,BUENOS AIRES,-35.971668,-62.733055,A
ARBA0662,BT046,Trenque Lauquen Rep,Pellegrini 1145,TRENQUE LAUQUEN,TRENQUE LAUQUEN,BUENOS AIRES,-35.961808,-62.721291,B
ARBA9269,BT045,Trenque Lauquen - 045(B),LOS ALERCES S/N entre CALLE S/N y CALLE S/N,TRENQUE LAUQUEN,TRENQUE LAUQUEN,BUENOS AIRES,-36.020862,-62.748303,C
ARBA9717,BT044,Trenque Lauquen TP,Regimiento 3 de Caballeria S/N entre 25 de Mayo y 9 de Julio,TRENQUE LAUQUEN,TRENQUE LAUQUEN,BUENOS AIRES,-35.976944,-62.747778,B
ARBA0062,BT010,Rivadavia,San Martin y L. N. Alem,RIVADAVIA,AMERICA,BUENOS AIRES,-35.491237,-62.974615,B
ARBA0551,BT014,Fortin Olavarría,Gral. Guemes s/n entre Sarmiento y Alberdi,RIVADAVIA,FORTIN OLAVARRIA,BUENOS AIRES,-35.70013,-63.018412,C
